    PID TTY      STAT   TIME COMMAND
      1 ?        Ss     0:02 /sbin/init splash
      2 ?        S      0:00 [kthreadd]
      3 ?        I<     0:00 [rcu_gp]
      4 ?        I<     0:00 [rcu_par_gp]
      6 ?        I<     0:00 [kworker/0:0H-events_highpri]
      9 ?        I<     0:00 [mm_percpu_wq]
     10 ?        S      0:00 [rcu_tasks_rude_]
     11 ?        S      0:00 [rcu_tasks_trace]
     12 ?        S      0:00 [ksoftirqd/0]
     13 ?        I      0:01 [rcu_sched]
     14 ?        S      0:00 [migration/0]
     15 ?        S      0:00 [idle_inject/0]
     16 ?        S      0:00 [cpuhp/0]
     17 ?        S      0:00 [cpuhp/1]
     18 ?        S      0:00 [idle_inject/1]
     19 ?        S      0:00 [migration/1]
     20 ?        S      0:00 [ksoftirqd/1]
     22 ?        I<     0:00 [kworker/1:0H-events_highpri]
     23 ?        S      0:00 [cpuhp/2]
     24 ?        S      0:00 [idle_inject/2]
     25 ?        S      0:00 [migration/2]
     26 ?        S      0:00 [ksoftirqd/2]
     28 ?        I<     0:00 [kworker/2:0H-events_highpri]
     29 ?        S      0:00 [cpuhp/3]
     30 ?        S      0:00 [idle_inject/3]
     31 ?        S      0:00 [migration/3]
     32 ?        S      0:00 [ksoftirqd/3]
     34 ?        I<     0:00 [kworker/3:0H-events_highpri]
     35 ?        S      0:00 [kdevtmpfs]
     36 ?        I<     0:00 [netns]
     37 ?        I<     0:00 [inet_frag_wq]
     38 ?        S      0:00 [kauditd]
     39 ?        I      0:00 [kworker/0:2-mm_percpu_wq]
     40 ?        S      0:00 [khungtaskd]
     41 ?        S      0:00 [oom_reaper]
     42 ?        I<     0:00 [writeback]
     43 ?        S      0:00 [kcompactd0]
     44 ?        SN     0:00 [ksmd]
     45 ?        SN     0:00 [khugepaged]
     94 ?        I<     0:00 [kintegrityd]
     95 ?        I<     0:00 [kblockd]
     96 ?        I<     0:00 [blkcg_punt_bio]
     97 ?        I<     0:00 [tpm_dev_wq]
     98 ?        I<     0:00 [ata_sff]
     99 ?        I<     0:00 [md]
    100 ?        I<     0:00 [edac-poller]
    101 ?        I<     0:00 [devfreq_wq]
    102 ?        S      0:00 [watchdogd]
    104 ?        I<     0:00 [kworker/3:1H-kblockd]
    106 ?        S      0:00 [kswapd0]
    107 ?        S      0:00 [ecryptfs-kthrea]
    109 ?        I<     0:00 [kthrotld]
    110 ?        S      0:00 [irq/24-pciehp]
    111 ?        S      0:00 [irq/25-pciehp]
    112 ?        S      0:00 [irq/26-pciehp]
    113 ?        S      0:00 [irq/27-pciehp]
    114 ?        S      0:00 [irq/28-pciehp]
    115 ?        S      0:00 [irq/29-pciehp]
    116 ?        S      0:00 [irq/30-pciehp]
    117 ?        S      0:00 [irq/31-pciehp]
    118 ?        S      0:00 [irq/32-pciehp]
    119 ?        S      0:00 [irq/33-pciehp]
    120 ?        S      0:00 [irq/34-pciehp]
    121 ?        S      0:00 [irq/35-pciehp]
    122 ?        S      0:00 [irq/36-pciehp]
    123 ?        S      0:00 [irq/37-pciehp]
    124 ?        S      0:00 [irq/38-pciehp]
    125 ?        S      0:00 [irq/39-pciehp]
    126 ?        S      0:00 [irq/40-pciehp]
    127 ?        S      0:00 [irq/41-pciehp]
    128 ?        S      0:00 [irq/42-pciehp]
    129 ?        S      0:00 [irq/43-pciehp]
    130 ?        S      0:00 [irq/44-pciehp]
    131 ?        S      0:00 [irq/45-pciehp]
    132 ?        S      0:00 [irq/46-pciehp]
    133 ?        S      0:00 [irq/47-pciehp]
    134 ?        S      0:00 [irq/48-pciehp]
    135 ?        S      0:00 [irq/49-pciehp]
    136 ?        S      0:00 [irq/50-pciehp]
    137 ?        S      0:00 [irq/51-pciehp]
    138 ?        S      0:00 [irq/52-pciehp]
    139 ?        S      0:00 [irq/53-pciehp]
    140 ?        S      0:00 [irq/54-pciehp]
    141 ?        S      0:00 [irq/55-pciehp]
    142 ?        I<     0:00 [acpi_thermal_pm]
    144 ?        S      0:00 [scsi_eh_0]
    145 ?        I<     0:00 [scsi_tmf_0]
    146 ?        S      0:00 [scsi_eh_1]
    147 ?        I<     0:00 [scsi_tmf_1]
    149 ?        I<     0:00 [vfio-irqfd-clea]
    151 ?        I<     0:00 [mld]
    152 ?        I<     0:00 [ipv6_addrconf]
    165 ?        I<     0:00 [kstrp]
    168 ?        I<     0:00 [zswap-shrink]
    170 ?        I      0:01 [kworker/2:2-events]
    171 ?        I<     0:00 [kworker/u257:0-hci0]
    178 ?        I<     0:00 [charger_manager]
    200 ?        I<     0:00 [kworker/1:1H-kblockd]
    223 ?        I<     0:00 [kworker/2:1H-kblockd]
    228 ?        I<     0:00 [mpt_poll_0]
    229 ?        I<     0:00 [mpt/0]
